pickup_hour,avg_trip_distance
0,3.370933334445492
1,7.431859881790953
2,3.2849766842199575
3,3.511066629841064
4,4.198195279725113
5,5.312316728773272
6,3.7002516620526946
7,2.8468566771794492
8,2.885383062616669
9,8.032637209009698
10,13.137266160067675
11,3.583697097501826
12,2.627045524352349
13,3.523155372750899
14,8.680663909906285
15,17.199194128889154
16,4.70451328727651
17,6.987738941345017
18,4.459005982583949
19,15.601283039957805
20,4.808179267651195
21,13.471521994864352
22,12.402950982083393
23,7.587897017148404
